# CR-V1 same-basename census  --  MACHINE-GENERATED DERIVATIVE, NOT evidence; regenerate:
#   python tools/probes/cr-v1-samename-pairs.py
# tool    = tools/probes/cr-v1-samename-pairs.py  sha256_16=5300800FF778F927  bytes=9603  mtime=2026-09-23 13:39:18
# AS-OF   = 2026-09-23 13:39:27
# roots   = tools/probes,.ai-tmp/test,.ai-tmp/drivers,.ai-tmp/hosts
# ext     = .cs,.py,.ps1,.txt,.tsv,.json,.md,.dll
# subject = scanned=1846  multi_member_groups=32  DIFFERENT=13  SAME=19
# READING RULE: 'DIFFERENT' = same basename, >1 distinct sha256 -> a reader may pick the
#   wrong copy.  'SAME' = duplicates that are byte-identical (harmless, still listed).
#   A pair that appeared AFTER a previous run will NOT be in that run's output -> re-run.
# name	sha16	bytes	mtime	path
CR-V1-waterprof.txt	811674908E4D8C45	6471	2026-09-23 10:55:45	tools/probes/CR-V1-waterprof.txt
CR-V1-waterprof.txt	811674908E4D8C45	6471	2026-09-23 10:55:45	.ai-tmp/test/CR-V1-waterprof.txt
cr-t6-river-check.py	38E3549542784D33	6054	2026-09-23 00:43:59	tools/probes/cr-t6-river-check.py
cr-t6-river-check.py	38E3549542784D33	6054	2026-09-23 00:43:59	.ai-tmp/hosts/cr-t6-river-check.py
cr-v1-arena-sheet.py	5A151C44AA101960	1727	2026-09-23 10:49:42	tools/probes/cr-v1-arena-sheet.py
cr-v1-arena-sheet.py	5A151C44AA101960	1727	2026-09-23 10:49:42	.ai-tmp/test/cr-v1-arena-sheet.py
cr-v1-blue-list.py	C4BA3AFC8A14F288	628	2026-09-23 10:36:25	tools/probes/cr-v1-blue-list.py
cr-v1-blue-list.py	C4BA3AFC8A14F288	628	2026-09-23 10:36:25	.ai-tmp/test/cr-v1-blue-list.py
cr-v1-crop.py	0C18745B27705242	1449	2026-09-23 10:37:11	tools/probes/cr-v1-crop.py
cr-v1-crop.py	0C18745B27705242	1449	2026-09-23 10:37:11	.ai-tmp/test/cr-v1-crop.py
cr-v1-dump-arena-exports.py	0DFB10D038099846	1161	2026-09-23 10:37:48	tools/probes/cr-v1-dump-arena-exports.py
cr-v1-dump-arena-exports.py	0DFB10D038099846	1161	2026-09-23 10:37:48	.ai-tmp/test/cr-v1-dump-arena-exports.py
cr-v1-f022-calib.py	7031276A5065D6B6	2435	2026-09-23 10:45:22	tools/probes/cr-v1-f022-calib.py
cr-v1-f022-calib.py	7031276A5065D6B6	2435	2026-09-23 10:45:22	.ai-tmp/test/cr-v1-f022-calib.py
cr-v1-measure2.py	9D51F595F580D281	5013	2026-09-23 11:11:17	tools/probes/cr-v1-measure2.py
cr-v1-measure2.py	9D51F595F580D281	5013	2026-09-23 11:11:17	.ai-tmp/test/cr-v1-measure2.py
cr-v1-ref-measure.py	DE5E91675562DB3F	4854	2026-09-23 10:36:50	tools/probes/cr-v1-ref-measure.py
cr-v1-ref-measure.py	DE5E91675562DB3F	4854	2026-09-23 10:36:50	.ai-tmp/test/cr-v1-ref-measure.py
cr-v1-view.py	F9484FB7A95D26C4	1196	2026-09-23 10:42:19	tools/probes/cr-v1-view.py
cr-v1-view.py	F9484FB7A95D26C4	1196	2026-09-23 10:42:19	.ai-tmp/test/cr-v1-view.py
cr-v1-waterprof.py	EE29D089F2FF8CF0	1509	2026-09-23 10:55:07	tools/probes/cr-v1-waterprof.py
cr-v1-waterprof.py	EE29D089F2FF8CF0	1509	2026-09-23 10:55:07	.ai-tmp/test/cr-v1-waterprof.py
