
=== f006 水带(全场宽)  x 200..1000  y 795..862 ===
  y= 898  中位(0, 128, 144)  10%(0, 125, 136)  90%(0, 131, 151)
  y= 904  中位(0, 128, 143)  10%(0, 124, 136)  90%(0, 128, 144)
  y= 910  中位(0, 128, 144)  10%(0, 124, 136)  90%(0, 128, 144)
  y= 916  中位(0, 128, 144)  10%(0, 125, 136)  90%(0, 131, 150)
  y= 922  中位(0, 128, 144)  10%(0, 126, 137)  90%(0, 132, 152)
  y= 928  中位(0, 131, 149)  10%(0, 127, 141)  90%(0, 137, 165)
  y= 934  中位(0, 132, 152)  10%(0, 128, 144)  90%(0, 140, 171)
  y= 940  中位(0, 137, 164)  10%(0, 129, 144)  90%(0, 144, 176)
  y= 946  中位(0, 143, 174)  10%(0, 132, 152)  90%(0, 147, 184)
  y= 952  中位(0, 156, 193)  10%(0, 138, 168)  90%(0, 161, 201)
  y= 958  中位(0, 170, 210)  10%(0, 147, 183)  90%(0, 172, 216)
  y= 964  中位(0, 172, 215)  10%(0, 167, 206)  90%(0, 174, 216)
  y= 970  中位(0, 172, 216)  10%(0, 169, 209)  90%(0, 175, 216)
  y= 976  中位(0, 173, 216)  10%(0, 172, 215)  90%(0, 176, 216)
  y= 982  中位(0, 174, 216)  10%(0, 172, 216)  90%(0, 176, 216)
  y= 988  中位(0, 174, 216)  10%(0, 172, 216)  90%(0, 176, 218)
  y= 994  中位(0, 175, 216)  10%(0, 172, 216)  90%(0, 176, 220)
  y=1000  中位(0, 175, 216)  10%(0, 172, 216)  90%(0, 176, 221)
